Sillhoute-Neckline-Backline-Sleeves-Cloth-Border-Embroidery
A-A-A-A-A-A-A,7A
A-A-A-A-A-A-B,6AB
A-A-A-A-A-B-A,5ABA
A-A-A-A-A-B-B,5A2B
A-A-A-A-B-A-A,4AB2A
A-A-A-A-B-A-B,4ABAB
A-A-A-A-B-B-A,4A2BA
A-A-A-A-B-B-B,4A3B
A-A-A-A-C-A-A,4AC2A
A-A-A-A-C-A-B,4ACAB
A-A-A-A-C-B-A,4ACBA
A-A-A-A-C-B-B,4AC2B
A-A-A-B-A-A-A,3AB3A
A-A-A-B-A-A-B,3AB2AB
A-A-A-B-A-B-A,3ABABA
A-A-A-B-A-B-B,3ABA2B
A-A-A-B-B-A-A,3A2B2A
A-A-A-B-B-A-B,3A2BAB
A-A-A-B-B-B-A,3A3BA
A-A-A-B-B-B-B,3A4B
A-A-A-B-C-A-A,3ABC2A
A-A-A-B-C-A-B,3ABCAB
A-A-A-B-C-B-A,3ABCBA
A-A-A-B-C-B-B,3ABCBA
A-A-B-A-A-A-A,2AB4A
A-A-B-A-A-A-B,2AB3AB
A-A-B-A-A-B-A,2AB2ABA
A-A-B-A-A-B-B,2AB2A2B
A-A-B-A-B-A-A,2ABAB2A
A-A-B-A-B-A-B,2ABABAB
A-A-B-A-B-B-A,2ABA2BA
A-A-B-A-B-B-B,2ABA3B
A-A-B-A-C-A-A,2ABAC2A
A-A-B-A-C-A-B,2ABACAB
A-A-B-A-C-B-A,2ABACBA
A-A-B-A-C-B-B,2ABAC2B
A-A-B-B-A-A-A,2A2B3A
A-A-B-B-A-A-B,2A2B2AB
A-A-B-B-A-B-A,2A2BABA
A-A-B-B-A-B-B,2A2BA2B
A-A-B-B-B-A-A,2A3B2A
A-A-B-B-B-A-B,2A3BAB
A-A-B-B-B-B-A,2A4BA
A-A-B-B-B-B-B,2A5B
A-A-B-B-C-A-A,2A2BC2A
A-A-B-B-C-A-B,2A2BCAB
A-A-B-B-C-B-A,2A2BCBA
A-A-B-B-C-B-B,2A2BC2B
A-B-A-A-A-A-A,AB5A
A-B-A-A-A-A-B,AB4AB
A-B-A-A-A-B-A,AB3ABA
A-B-A-A-A-B-B,AB3A2B
A-B-A-A-B-A-A,AB2AB2A
A-B-A-A-B-A-B,AB2ABAB
A-B-A-A-B-B-A,AB2A2BA
A-B-A-A-B-B-B,AB2A3B
A-B-A-A-C-A-A,AB2AC2A
A-B-A-A-C-A-B,AB2ACAB
A-B-A-A-C-B-A,AB2ACBA
A-B-A-A-C-B-B,AB2AC2B
A-B-A-B-A-A-A,ABAB3A
A-B-A-B-A-A-B,ABAB2AB
A-B-A-B-A-B-A,ABABABA
A-B-A-B-A-B-B,ABABA2B
A-B-A-B-B-A-A,ABA2B2A
A-B-A-B-B-A-B,ABA2BAB
A-B-A-B-B-B-A,ABA3BA
A-B-A-B-B-B-B,ABA4B
A-B-A-B-C-A-A,ABABC2A
A-B-A-B-C-A-B,ABABCAB
A-B-A-B-C-B-A,ABABCBA
A-B-A-B-C-B-B,ABABC2B
A-B-B-A-A-A-A,A2B4A
A-B-B-A-A-A-B,A2B3AB
A-B-B-A-A-B-A,A2B2ABA
A-B-B-A-A-B-B,A2B2A2B
A-B-B-A-B-A-A,A2BAB2A
A-B-B-A-B-A-B,A2BABAB
A-B-B-A-B-B-A,A2BA2BA
A-B-B-A-B-B-B,A2BA3B
A-B-B-A-C-A-A,A2BAC2A
A-B-B-A-C-A-B,A2BACAB
A-B-B-A-C-B-A,A2BACBA
A-B-B-A-C-B-B,A2BACBB
A-B-B-B-A-A-A,A3B3A
A-B-B-B-A-A-B,A3B2AB
A-B-B-B-A-B-A,A3BABA
A-B-B-B-A-B-B,A3BA2B
A-B-B-B-B-A-A,A4B2A
A-B-B-B-B-A-B,A4BAB
A-B-B-B-B-B-A,A5BA
A-B-B-B-B-B-B,A6B
A-B-B-B-C-A-A,A3BC2A
A-B-B-B-C-A-B,A3BCAB
A-B-B-B-C-B-A,A3BCBA
A-B-B-B-C-B-B,A3BC2B
B-A-A-A-A-A-A,B6A
B-A-A-A-A-A-B,B5AB
B-A-A-A-A-B-A,B4ABA
B-A-A-A-A-B-B,B4A2B
B-A-A-A-B-A-A,B3AB2A
B-A-A-A-B-A-B,B3ABAB
B-A-A-A-B-B-A,B3A2BA
B-A-A-A-B-B-B,B3A3B
B-A-A-A-C-A-A,B3AC2A
B-A-A-A-C-A-B,B3ACAB
B-A-A-A-C-B-A,B3ACBA
B-A-A-A-C-B-B,B3AC2B
B-A-A-B-A-A-A,B2AB3A
B-A-A-B-A-A-B,B2AB2AB
B-A-A-B-A-B-A,B2ABABA
B-A-A-B-A-B-B,B2ABA2B
B-A-A-B-B-A-A,B2A2B2A
B-A-A-B-B-A-B,B2A2BAB
B-A-A-B-B-B-A,B2A3BA
B-A-A-B-B-B-B,B2A4B
B-A-A-B-C-A-A,B2ABC2A
B-A-A-B-C-A-B,B2ABCAB
B-A-A-B-C-B-A,B2ABCBA
B-A-A-B-C-B-B,B2ABC2B
B-A-B-A-A-A-A,BAB4A
B-A-B-A-A-A-B,BAB3AB
B-A-B-A-A-B-A,BAB2ABA
B-A-B-A-A-B-B,BAB2A2B
B-A-B-A-B-A-A,BABAB2A
B-A-B-A-B-A-B,BABABAB
B-A-B-A-B-B-A,BABA2BA
B-A-B-A-B-B-B,BABA3B
B-A-B-A-C-A-A,BABAC2A
B-A-B-A-C-A-B,BABACAB
B-A-B-A-C-B-A,BABACBA
B-A-B-A-C-B-B,BABAC2B
B-A-B-B-A-A-A,BA2B3A
B-A-B-B-A-A-B,BA2B2AB
B-A-B-B-A-B-A,BA2BABA
B-A-B-B-A-B-B,BA2BA2B
